KEY,zh,zh-TW,en,ja,fr,de,it,es,pt,ko
Controller_Connected,"手柄已连接\n请长按Home键使射线置中","手柄已連接\n請長按Home鍵使射線置中","The controller is connected\nPlease hold down the Home button to re-center","コントローラーが接続されました。\nホームキーを長押しして方向を調整します。","La manette est connectée\nVeuillez appuyer longuement sur le bouton d'accueil pour procéder au calibrage","Der Controller ist verbunden.\nBitte drücken Sie zur Kalibrierung die Home-Taste.","Il controller è collegato\nTieni premuto il pulsante Home per riallineare al centro","El controlador está conectado\nPor favor, presione la tecla de calibración de Inicio","O controlador está conectado\nMantenha o botão Início pressionado para recalibrar","컨트롤러가 연결되었습니다. \n홈 버튼을 길게 눌러 보정하여 주십시오."
Controller_DisConnected,"手柄已断开\n即将切换到头控模式","手柄已斷開\n即將切換到頭控模式","Controller has been disconnected\nThe device will now switch to Simple Mode","コントローラーが切断されました。\nシンプルモードに切り替えます。","La manette est déconnectée\nPassage au mode casque","Der Controller ist getrennt.\nEs wird in den Kopfhörermodus gewechselt.","Il controller è stato scollegato\nPassaggio a modalità Cuffie","El controlador se ha desconectado\nPara cambiar al modelo sencillo","O controlador foi desconectado\nO dispositivo passará para o Modo Simples","컨트롤러의 연결이 끊어졌습니다. \n이제 장치가 심플 모드로 전환될 것입니다."
Notice,"公告","公告","Bulletin Board","お知らせ","Tableau d'affichage","Pinnwand","Albo","Tablón de anuncios","Quadro de Avisos","게시판"
Update_Title,"有可用于您设备的系统更新","有可用的系統更新","There is an update available for your device","新しいバージョンを発見しました。","Une mise à jour est disponible pour votre appareil","Es ist ein Update für Ihr Gerät verfügbar.","È disponibile un aggiornamento per il tuo dispositivo","Hay una actualización disponible para tu dispositivo","Existe uma atualização disponível para o seu dispositivo","새로운 업데이트가 있습니다."
Dialog_Ok,"确定","確定","OK","確定","OK","OK","OK","OK","OK","확인"
Dialog_Cancel,"取消","取消","Cancel","キャンセル","Annuler","Abbrechen","Annulla","Cancelar","Cancelar","취소"
Dialog_Yes,"是","是","Yes","はい","Oui","Ja","Sì","Sí","Sim","예"
Dialog_No,"否","否","No","いいえ","Non","Nein","No","No","Não","아니오"
Delete,"删除","刪除","Delete","削除","Supprimer","Löschen","Elimina","Borrar","Excluir","삭제"
More_Category,"更多","更多","More","More","More","More","More","More","More","More"
Wifi,"网络","網路","WLAN","Wi-Fi","WLAN","WLAN","WLAN","WLAN","WLAN","WiFi"
Bluetooth,"蓝牙","藍牙","Bluetooth","Bluetooth","Appareil Bluetooth","Bluetooth-Gerät","Dispositivo Bluetooth","Dispositivo Bluetooth","Bluetooth","블루투스"
Controller,"手柄","手柄","Controller","コントローラー","Controller","Controller","Controller","Controller","Controlador","컨트롤러"
Brightness,"亮度","亮度","Brightness","明るさ","Luminosité","Helligkeit","Luminosità","Brillo","Brilho","밝기"
Settings,"设置","設置","Settings","設定","Paramètres","Einstellung","Configurazione","Ajustes","Configurações","설정"
DENY_NOT_LICENSED,"当前账号没有权限打开该游戏，是否前往Viveport进行账户切换？","當前帳號沒有許可權打開該遊戲，是否前往Viveport進行帳戶切換？","You don't have permission to open this game. Go to Viveport and switch accounts?","現在ご使用中のアカウントではゲームの使用権限がありません。Viveportへアカウントを切り替えますか？","Vous n'avez pas l'autorisation d'ouvrir ce jeu. Accéder à Viveport et changer de compte ?","Sie sind nicht berechtigt dieses Spiel zu starten. Zu Viveport gehen und Konto wechseln?","Non sei autorizzato ad aprire questo gioco. Vuoi andare Viveport e cambiare account?","No tienes permiso para abrir este juego. ¿Ir a Viveport y cambiar las cuentas?","Você não tem permissão para abrir este jogo. Ir para Viveport e trocar de conta?","귀하는 이 게임을 사용할 권한이 없습니다. Viveport로 이동하여 계정을 전환하시겠습니까?"
DENY_RETRY,"无法连接服务器，请确认网络环境。","無法連接伺服器，請確認網路環境。","Cannot link to server. Please confirm network environment.","サーバーと接続できません。インタネット環境をご確認ください。","Liaison impossible avec le serveur. Veuillez confirmer l'environnement réseau.","Keine Verbindung zum Server möglich. Bitte Netzwerkumgebung überprüfen.","Collegamento con il server non riuscito. Verifica lo stato della rete.","No se pudo vincular con el servidor. Por favor, confirma el ambiente de red.","Não foi possível estabelecer uma ligação com o servidor. Confirme o ambiente de rede.","서버에 연결할 수 없습니다. 네트워크 환경을 확인하여 주십시오."
DENY_NOT_SIGN_IN,"您的HTC账号未登录，无法启动游戏，是否前往Viveport登录？","您的HTC帳號未登錄，無法啟動遊戲，是否前往Viveport登錄？","You are not logged into your HTC account. You cannot start the game. Go to Viveport and login?","HTCアカウントを未登録です。Viveportへログインしますか？","Vous n'êtes pas connecté(e) à votre compte HTC. Vous ne pouvez pas démarrer le jeu. Accéder à Viveport et se connecter ?","Sie sind nicht an Ihrem HTC-Konto angemeldet. Sie können das Spiel nicht starten. Zu Viveport gehen und anmelden?","Non hai effettuato l'accesso al tuo account HTC. Non puoi iniziare la partita. Vuoi andare a Viveport per accedere?","No has iniciado sesión en la cuenta de HTC. No puedes empezar el juego. ¿Ir a Viveport e iniciar sesión?","Você não iniciou sessão na sua conta HTC. Não é possível iniciar o jogo. Ir para Viveport e fazer login?","HTC 계정에 로그인되어있지 않으므로 게임을 시작할 수 없습니다. Viveport에 로그인하시겠습니까?"
DENY_NO_SERVICE,"HTC VivePort未安装，无法获取到相应服务。","HTC VivePort未安裝，無法獲取到相應服務。","HTC VivePort not installed. Cannot connect to corresponding server.","HTC VivePortはインストールしていません。","VivePort HTC non installé. Impossible de se connecter au serveur correspondant.","HTC VivePort ist nicht installiert. Verbindung zum entsprechenden Server nicht möglich.","HTC VivePort non installato. Impossibile collegarsi al server corrispondente.","HTC VivePort no está instalado. No se pudo conectar con el servidor correspondiente.""HTC VivePort não está instalado. Não é possível conectar ao servidor correspondente.","HTC 계정에 로그인되어있지 않으므로 게임을 시작할 수 없습니다. Viveport에 로그인하시겠습니까?"
DENY_LICENSE_EXPIRED,"您的HTC账号未登录，无法启动游戏，是否前往Viveport登录？","您的HTC帳號未登錄，無法啟動遊戲，是否前往Viveport登錄？","You are not logged into your HTC account. You cannot start the game. Go to Viveport and login?","HTCアカウントを未登録です。Viveportへログインしますか？","Vous n'êtes pas connecté(e) à votre compte HTC. Vous ne pouvez pas démarrer le jeu. Accéder à Viveport et se connecter ?","Sie sind nicht an Ihrem HTC-Konto angemeldet. Sie können das Spiel nicht starten. Zu Viveport gehen und anmelden?","Non hai effettuato l'accesso al tuo account HTC. Non puoi iniziare la partita. Vuoi andare a Viveport per accedere?","No has iniciado sesión en la cuenta de HTC. No puedes empezar el juego. ¿Ir a Viveport e iniciar sesión?","Você não iniciou sessão na sua conta HTC. Não é possível iniciar o jogo. Ir para Viveport e fazer login?","HTC 계정에 로그인되어있지 않으므로 게임을 시작할 수 없습니다. Viveport에 로그인하시겠습니까?"
NOT_Clean,"暂不清理","暫不清理","Don't clean up now","今はクリーンアップしない","Ne pas nettoyer maintenant","Nich jetzt bereinigen","Non ripulire adesso","No limpiar ahora","Não limpar agora","지금은 정리하지 않음"
Clean,"去清理","去清理","Clean up","クリーンアップ","Nettoyer","Bereinigen","Ripulisci","Limpiar","Limpar","정리하기"
Uninstall,"您确定要卸载 {0} 吗？","您確定要卸載 {0} 嗎？","Uninstall {0}?","{0}をアンインストールしますか?","Etes-vous sûr de désinstaller {0}?","Sind Sie sicher, dass Sie es deinstallieren wollen?","Si sicuri di che voler disinstallare {0}?","Está seguro de que desea desinstalar {0}?","Tem certeza de que deseja desinstalar o {0}?"," {0} 삭제 확실합니까?"
More,"查看全部","查看全部","View All","全て確認する","Tout voir","Alle ansehen","Vedi tutti","Ver todos","Ver todos","모두보기"
SceneManager,"场景管理","場景管理","Manage Scene","シーン管理","Gestion de scène","Szenen Management","Gestione delle scene","Gestión de escenas","Gerenciamento de cenas","배경화면 관리"
Scene0,"海岛奇遇","海島奇遇","The island adventure","The island adventure","The island adventure","The island adventure","The island adventure","The island adventure","The island adventure","The island adventure"
Scene1,"贝加尔湖","貝加爾湖","Baikal","Baikal","Baikal","Baikal","Baikal","Baikal","Baikal","Baikal"
Scene2,"梦幻迷城","夢幻迷城","Castle of Illusion","Castle of Illusion","Castle of Illusion","Castle of Illusion","Castle of Illusion","Castle of Illusion","Castle of Illusion","Castle of Illusion"
Keep_Sun,"警告！为防止头盔屏幕损坏，请勿使阳光直射头盔的光学镜片！镜片在阳光照射下不到一分钟即有可能造成屏幕出现永久性黄斑损坏，在户外和室内阳光能直射到的地方都有可能发生。请注意，此种物理损坏不在产品的质保范围内。","警告！爲防止頭盔屏幕損壞，請勿使陽光直射頭盔的光學鏡片！鏡片在陽光照射下不到一分鍾即有可能造成屏幕出現永久性黃斑損壞，在戶外和室內陽光能直射到的地方都有可能發生。請注意，此種物理損壞不在産品的質保範圍內。","Warning!To prevent damage to the helmet screen, please avoid direct sunlight on the optical lens of the helmet!The sunlight can cause permanent burns to the screen in less a minute, which may occur in places where sunlight can reach directly, both outdoors and indoors.Please note that such physical damage is not covered by the product warranty.","警告！本機の恒久的な破損を防ぐため、レンズを直射日光に晒さないでください。レンズを直射日光に晒した場合、1分以内でも画面の焼き付きの原因になります。屋外、屋内に関わらず、直射日光が差し込む環境下では起こりえます。ご注意ください。なお、直射日光による画面の焼き付きは保証対象外になります。","Attention !Afin d'éviter que l'écran du casque soit endommagé, veuillez ne pas exposer la lentille optique du casque à la lumière directe du soleil !La lumière du soleil peut provoquer des brûlures permanentes sur l'écran en moins d'une minute, cela peut se produire dans des endroits où la lumière du soleil peut être directe, que ce soit en intérieur ou en extérieur.Veuillez noter qu'un tel dégât physique n'est pas couvert par la garantie. ","Achtung! Um Schäden am Bildschirm zu verhindern, sollte die optische Linse am Helm keiner direkten.Sonneneinstrahlung ausgesetzt werden. Sonnenlicht kann in weniger als einer Minute dauerhafte Schäden am Bildschirm hinterlassen – sowohl im Freien als auch in Innenräumen. Derlei Schäden fallen nicht unter die Produktgarantie.","Attenzione!Per prevenire danni allo schermo del casco, evitare che la lente ottica venga a contatto diretto con i raggi solari. I raggi solari diretti possono causare bruciature permanenti allo schermo in meno di un minuto. Ciò può avvenire in luoghi in cui la luce del sole può arrivare direttamente, sia fuori che al chiuso. Ricordiamo che tali danni fisici non sono coperti dalla garanzia del prodotto.","¡Aviso!Para impedir daños en la pantalla de las gafas, evita la luz solar directa en la lente óptica de las gafas.La luz solar puede provocar quemaduras permanentes en la pantalla, sobre todo si están en un lugar donde la luz incide de forma directa, tanto en el exterior como en el interior.Ten en cuenta que este daño físico no está cubierto por la garantía del producto.","Aviso!Para evitar danos à tela do capacete, evite a exposição direta das lentes óticas do capacete à luz do sol!A luz do sol pode causar queimaduras permanente à tela em menos de um minuto, que pode ocorrer em locais em que a luz do sol tenha contato direto com o dispositivo, seja dentro ou fora de casa.Observe que este tipo de dano físico não é abrangido pela garantia do produto.","경고! 화면손상을 막기위해 광학렌즈에 직사광선이 닿지 않도록 주의하세요!직사광선이 닿을 경우 1분 미만의 시간에도 화면에 영구적인 손상이 발생할 수 있습니다.이러한 물리적 손상은 제품보증의 대상이 아니오니 주의바랍니다."
I_Konw,"我知道了","我知道了","I know","了解","Compris","Verstanden","Ho capito","Entendido","Entendi","알겠습니다"
No_Tip,"以后不再提示","以後不再提示","Don't remind me again","今後は表示しない","Ne plus me le rappeler","Nicht erneut erinnern","Non ricordarmelo più","No volver a recordar","Não me lembrar novamente","다시 알림 받지 않기"
